mouse_id,month,treatment,clade_volume,ln2volume
#131,m1,UV,8198.134848,13.00108001
#003,m1,UV,8205.053106,13.00229696
#131,m1,UV,8211.971363,13.00351288
#131,m1,UV,8225.807877,13.00594166
#303,m1,UV,8225.807877,13.00594166
#003,m1,UV,8232.726135,13.00715452
#022,m1,UV,8232.726135,13.00715452
#289,m1,UV,8232.726135,13.00715452
#131,m1,UV,8246.562649,13.00957718
#303,m1,UV,8246.562649,13.00957718
#006,m1,UV,8253.480906,13.01078699
#282,m1,UV,8253.480906,13.01078699
#131,m1,UV,8260.399164,13.01199578
#303,m1,UV,8260.399164,13.01199578
#003,m1,UV,8267.317421,13.01320356
#009,m1,UV,8267.317421,13.01320356
#974,m1,UV,8267.317421,13.01320356
#970,m1,UV,8281.153935,13.0156161
#006,m1,UV,8288.072193,13.01682085
#974,m1,UV,8294.99045,13.0180246
#263,m1,UV,8301.908707,13.01922735
#009,m1,UV,8322.663479,13.02282959
#263,m1,UV,8329.581736,13.02402834
#009,m1,UV,8357.254765,13.0288134
#263,m1,UV,8357.254765,13.0288134
#263,m1,UV,8378.009537,13.03239181
#263,m1,UV,8378.009537,13.03239181
#263,m1,UV,8384.927794,13.03358264
#003,m1,UV,8405.682566,13.03714926
#281,m1,UV,8405.682566,13.03714926
#263,m1,UV,8426.437338,13.04070708
#022,m1,UV,8433.355595,13.04189107
#022,m1,UV,8433.355595,13.04189107
#289,m1,UV,8447.192109,13.04425615
#006,m1,UV,8461.028624,13.04661735
#282,m1,UV,8461.028624,13.04661735
#006,m1,UV,8474.865139,13.0489747
#970,m1,UV,8474.865139,13.0489747
#263,m1,UV,8481.783396,13.05015193
#263,m1,UV,8502.538168,13.05367786
#022,m1,UV,8516.374682,13.05602371
#263,m1,UV,8516.374682,13.05602371
#282,m1,UV,8516.374682,13.05602371
#009,m1,UV,8523.292939,13.0571952
#263,m1,UV,8544.047711,13.06070399
#022,m1,UV,8550.965968,13.06187169
#131,m1,UV,8550.965968,13.06187169
#970,m1,UV,8550.965968,13.06187169
#003,m1,UV,8564.802483,13.06420426
#974,m1,UV,8571.72074,13.06536913
#303,m1,UV,8578.638997,13.06653307
#006,m1,UV,8585.557255,13.06769606
#263,m1,UV,8585.557255,13.06769606
#022,m1,UV,8592.475512,13.06885812
#291,m1,UV,8592.475512,13.06885812
#282,m1,UV,8599.393769,13.07001924
#289,m1,UV,8599.393769,13.07001924
#263,m1,UV,8620.148541,13.07349701
#003,m1,UV,8627.066798,13.07465441
#006,m1,UV,8647.82157,13.07812104
#022,m1,UV,8654.739827,13.07927474
#282,m1,UV,8654.739827,13.07927474
#006,m1,UV,8675.494599,13.08273029
#131,m1,UV,8703.167628,13.08732487
#970,m1,UV,8703.167628,13.08732487
#263,m1,UV,8717.004142,13.08961668
#974,m1,UV,8717.004142,13.08961668
#022,m1,UV,8730.840657,13.09190486
#970,m1,UV,8737.758914,13.09304759
#022,m1,UV,8772.350201,13.09874769
#022,m1,UV,8779.268458,13.09988502
#282,m1,UV,8779.268458,13.09988502
#970,m1,UV,8786.186715,13.10102144
