"","mouse_id","month","treatment","clade_volume","ln2volume"
"1","#003","m1","UV",8205.053106,13.00229696
"2","#003","m1","UV",8232.726135,13.00715452
"3","#022","m1","UV",8232.726135,13.00715452
"4","#006","m1","UV",8253.480906,13.01078699
"5","#003","m1","UV",8267.317421,13.01320356
"6","#970","m1","UV",8281.153935,13.0156161
"7","#006","m1","UV",8288.072193,13.01682085
"8","#003","m1","UV",8405.682566,13.03714926
"9","#022","m1","UV",8433.355595,13.04189107
"10","#022","m1","UV",8433.355595,13.04189107
"11","#006","m1","UV",8461.028624,13.04661735
"12","#006","m1","UV",8474.865139,13.0489747
"13","#970","m1","UV",8474.865139,13.0489747
"14","#022","m1","UV",8516.374682,13.05602371
"15","#022","m1","UV",8550.965968,13.06187169
"16","#970","m1","UV",8550.965968,13.06187169
"17","#003","m1","UV",8564.802483,13.06420426
"18","#006","m1","UV",8585.557255,13.06769606
"19","#022","m1","UV",8592.475512,13.06885812
"20","#003","m1","UV",8627.066798,13.07465441
"21","#006","m1","UV",8647.82157,13.07812104
"22","#022","m1","UV",8654.739827,13.07927474
"23","#006","m1","UV",8675.494599,13.08273029
"24","#970","m1","UV",8703.167628,13.08732487
"25","#022","m1","UV",8730.840657,13.09190486
"26","#970","m1","UV",8737.758914,13.09304759
"27","#022","m1","UV",8772.350201,13.09874769
"28","#022","m1","UV",8779.268458,13.09988502
"29","#970","m1","UV",8786.186715,13.10102144
"30","#003","m1","UV",8848.45103,13.11120921
"31","#003","m1","UV",8855.369288,13.11233676
"32","#003","m1","UV",8889.960574,13.11796131
"33","#003","m1","UV",8889.960574,13.11796131
"34","#003","m1","UV",8910.715346,13.12132554
"35","#003","m1","UV",8924.55186,13.12356401
"36","#970","m1","UV",8979.897918,13.13248333
"37","#022","m1","UV",8986.816175,13.13359438
"38","#022","m1","UV",9000.65269,13.13581391
"39","#006","m1","UV",9021.407462,13.13913682
"40","#022","m1","UV",9028.325719,13.14024275
"41","#022","m1","UV",9118.263063,13.15454332
"42","#003","m1","UV",9132.099578,13.15673088
"43","#006","m1","UV",9166.690864,13.16218531
"44","#970","m1","UV",9263.546466,13.17734891
"45","#006","m1","UV",9291.219495,13.18165225
"46","#006","m1","UV",9305.056009,13.18379912
"47","#003","m1","UV",9381.156839,13.19555012
"48","#003","m1","UV",9388.075096,13.19661367
"49","#003","m1","UV",9408.829868,13.1997996
"50","#003","m1","UV",9443.421154,13.2050939
"51","#003","m1","UV",9450.339412,13.20615043
"52","#006","m1","UV",9547.195013,13.22086121
"53","#022","m1","UV",9595.622814,13.22816073
"54","#006","m1","UV",9637.132358,13.2343882
"55","#006","m1","UV",9657.887129,13.23749189
"56","#022","m1","UV",9727.069702,13.24778954
"57","#970","m1","UV",9747.824474,13.25086456
"58","#006","m1","UV",9761.660988,13.25291093
"59","#970","m1","UV",9775.497503,13.25495441
"60","#970","m1","UV",9782.41576,13.25597507
"61","#022","m1","UV",9789.334017,13.256995
"62","#970","m1","UV",9830.843561,13.2630995
"63","#003","m1","UV",9893.107876,13.27220809
"64","#970","m1","UV",9900.026133,13.27321662
"65","#022","m1","UV",9927.699162,13.27724368
"66","#970","m1","UV",9934.61742,13.2782487
"67","#006","m1","UV",9941.535677,13.27925301
"68","#003","m1","UV",9948.453934,13.28025662
"69","#022","m1","UV",9962.290449,13.28226176
"70","#970","m1","UV",9969.208706,13.28326328
"71","#022","m1","UV",9976.126963,13.28426411
"72","#003","m1","UV",10010.71825,13.28925787
"73","#970","m1","UV",10024.55476,13.29125054
"74","#006","m1","UV",10059.14605,13.29622022
"75","#003","m1","UV",10100.65559,13.30216132
"76","#970","m1","UV",10107.57385,13.30314912
"77","#003","m1","UV",10114.49211,13.30413626
"78","#022","m1","UV",10135.24688,13.30709361
"79","#003","m1","UV",10190.59294,13.31495038
